match_id,team1,team2,gender,season,date,event,match_number,venue,city,toss_winner,toss_decision,player_of_match,umpire,umpire,reserve_umpire,tv_umpire,match_referee,result,winner_by_runs,winner_by_wicket
1122286,India,South Africa,male,2017/18,43152,India tour of South Africa,2,SuperSport Park,Centurion,South Africa,field,H Klaasen,A Paleker,BP Jele,S George,AT Holdstock,AJ Pycroft,South Africa,0,6
1145982,Afghanistan,Bangladesh,male,2018,43254,Afghanistan tour of India,1,"Rajiv Gandhi International Cricket Stadium, Dehradun",Dehra Dun,Bangladesh,field,Rashid Khan,Ahmed Shah Pakteen,Bismillah Shinwari,Mahmood Kharoti,Izatullah Safi,AJ Pycroft,Afghanistan,45,0
1183524,Australia,Sri Lanka,male,2019/20,43765,Sri Lanka tour of Australia,1,Adelaide Oval,Adelaide,Sri Lanka,field,DA Warner,P Wilson,GA Abood,PJ Gillespie,SAJ Craig,J Srinath,Australia,134,0
1183525,Australia,Sri Lanka,male,2019/20,43768,Sri Lanka tour of Australia,2,"Brisbane Cricket Ground, Woolloongabba",Brisbane,Sri Lanka,bat,DA Warner,P Wilson,GA Abood,PJ Gillespie,SAJ Craig,J Srinath,Australia,0,9
1183526,Australia,Sri Lanka,male,2019/20,43770,Sri Lanka tour of Australia,3,Melbourne Cricket Ground,Melbourne,Australia,field,DA Warner,P Wilson,SAJ Craig,PJ Gillespie,GA Abood,J Srinath,Australia,0,7
1183527,Australia,Pakistan,male,2019/20,43772,Pakistan tour of Australia,1,Sydney Cricket Ground,Sydney,Australia,field,0,P Wilson,GA Abood,PJ Gillespie,SAJ Craig,J Srinath,no result,0,0
1183528,Australia,Pakistan,male,2019/20,43774,Pakistan tour of Australia,2,Manuka Oval,Canberra,Pakistan,bat,SPD Smith,GA Abood,SAJ Craig,PJ Gillespie,P Wilson,J Srinath,Australia,0,7
1183529,Australia,Pakistan,male,2019/20,43777,Pakistan tour of Australia,3,Perth Stadium,Perth,Australia,field,SA Abbott,P Wilson,SJ Nogajski,SAJ Craig,GA Abood,J Srinath,Australia,0,10
1185313,South Africa,England,male,2019/20,43873,England tour of South Africa,1,Buffalo Park,East London,England,field,L Ngidi,BP Jele,AT Holdstock,BM White,A Paleker,DC Boon,South Africa,1,0
1185314,South Africa,England,male,2019/20,43875,England tour of South Africa,2,Kingsmead,Durban,South Africa,field,MM Ali,A Paleker,BP Jele,BM White,AT Holdstock,DC Boon,England,2,0
1185315,South Africa,England,male,2019/20,43877,England tour of South Africa,3,SuperSport Park,Centurion,South Africa,bat,EJG Morgan,A Paleker,AT Holdstock,BM White,BP Jele,DC Boon,England,0,5
1185316,South Africa,Australia,male,2019/20,43882,Australia tour of South Africa,1,The Wanderers Stadium,Johannesburg,South Africa,field,AC Agar,A Paleker,AT Holdstock,BM White,BP Jele,AJ Pycroft,Australia,107,0
