match_id,team1,team2,gender,season,date,event,match_number,venue,city,toss_winner,toss_decision,player_of_match,umpire,umpire,reserve_umpire,tv_umpire,match_referee,result,winner_by_runs,winner_by_wicket
936153,South Africa,Sri Lanka,male,2016/17,42755,Sri Lanka in South Africa T20I Series,1,SuperSport Park,Centurion,Sri Lanka,field,L Ngidi,S George,AT Holdstock,A Paleker,BP Jele,RB Richardson,South Africa,19,0
936155,South Africa,Sri Lanka,male,2016/17,42757,Sri Lanka in South Africa T20I Series,2,New Wanderers Stadium,Johannesburg,South Africa,bat,AD Mathews,AT Holdstock,BP Jele,A Paleker,S George,RB Richardson,Sri Lanka,0,3
936157,South Africa,Sri Lanka,male,2016/17,42760,Sri Lanka in South Africa T20I Series,3,Newlands,Cape Town,South Africa,bat,N Dickwella,S George,BP Jele,A Paleker,AT Holdstock,RB Richardson,Sri Lanka,0,5
951321,Afghanistan,Zimbabwe,male,2015/16,42441,World T20,9,"Vidarbha Cricket Association Stadium, Jamtha",Nagpur,Afghanistan,bat,Mohammad Nabi,Aleem Dar,RK Illingworth,M Erasmus,IJ Gould,J Srinath,Afghanistan,59,0
951329,India,New Zealand,male,2015/16,42444,World T20,13,"Vidarbha Cricket Association Stadium, Jamtha",Nagpur,New Zealand,bat,MJ Santner,HDPK Dharmasena,RK Illingworth,NJ Llong,M Erasmus,RS Madugalle,New Zealand,47,0
951331,England,West Indies,male,2015/16,42445,World T20,15,Wankhede Stadium,Mumbai,West Indies,field,CH Gayle,CB Gaffaney,RJ Tucker,S Ravi,PR Reiffel,DC Boon,West Indies,0,6
951333,Bangladesh,Pakistan,male,2015/16,42445,World T20,14,Eden Gardens,Kolkata,Pakistan,bat,Shahid Afridi,IJ Gould,RA Kettleborough,Aleem Dar,JS Wilson,BC Broad,Pakistan,55,0
951335,Afghanistan,Sri Lanka,male,2015/16,42446,World T20,16,Eden Gardens,Kolkata,Afghanistan,bat,TM Dilshan,BNJ Oxenford,JS Wilson,IJ Gould,RA Kettleborough,BC Broad,Sri Lanka,0,6
951337,Australia,New Zealand,male,2015/16,42447,World T20,17,Himachal Pradesh Cricket Association Stadium,Dharamsala,New Zealand,bat,MJ McClenaghan,M Erasmus,NJ Llong,HDPK Dharmasena,RK Illingworth,RS Madugalle,New Zealand,8,0
951339,England,South Africa,male,2015/16,42447,World T20,18,Wankhede Stadium,Mumbai,England,field,JE Root,S Ravi,PR Reiffel,CB Gaffaney,RJ Tucker,DC Boon,England,0,2
951341,India,Pakistan,male,2015/16,42448,World T20,19,Eden Gardens,Kolkata,India,field,V Kohli,IJ Gould,RA Kettleborough,JS Wilson,BNJ Oxenford,BC Broad,India,0,6
951343,Afghanistan,South Africa,male,2015/16,42449,World T20,20,Wankhede Stadium,Mumbai,South Africa,bat,CH Morris,CB Gaffaney,PR Reiffel,RJ Tucker,S Ravi,DC Boon,South Africa,37,0
951345,Sri Lanka,West Indies,male,2015/16,42449,World T20,21,M Chinnaswamy Stadium,Bangalore,West Indies,field,ADS Fletcher,Aleem Dar,JD Cloete,IJ Gould,SD Fry,JJ Crowe,West Indies,0,7
951347,Australia,Bangladesh,male,2015/16,42450,World T20,22,M Chinnaswamy Stadium,Bangalore,Australia,field,A Zampa,IJ Gould,RA Kettleborough,BNJ Oxenford,Aleem Dar,BC Broad,Australia,0,3
951349,New Zealand,Pakistan,male,2015/16,42451,World T20,23,"Punjab Cricket Association IS Bindra Stadium, Mohali",Chandigarh,New Zealand,bat,MJ Guptill,RK Illingworth,NJ Llong,M Erasmus,HDPK Dharmasena,RS Madugalle,New Zealand,22,0
951351,Afghanistan,England,male,2015/16,42452,World T20,24,Feroz Shah Kotla,Delhi,England,bat,MM Ali,S Ravi,RJ Tucker,PR Reiffel,CB Gaffaney,DC Boon,England,15,0
951353,India,Bangladesh,male,2015/16,42452,World T20,25,M Chinnaswamy Stadium,Bangalore,Bangladesh,field,R Ashwin,Aleem Dar,BNJ Oxenford,RA Kettleborough,IJ Gould,BC Broad,India,1,0
951355,Australia,Pakistan,male,2015/16,42454,World T20,26,"Punjab Cricket Association IS Bindra Stadium, Mohali",Chandigarh,Australia,bat,JP Faulkner,HDPK Dharmasena,M Erasmus,NJ Llong,RK Illingworth,RS Madugalle,Australia,21,0
951357,South Africa,West Indies,male,2015/16,42454,World T20,27,"Vidarbha Cricket Association Stadium, Jamtha",Nagpur,West Indies,field,MN Samuels,IJ Gould,RA Kettleborough,Aleem Dar,BNJ Oxenford,BC Broad,West Indies,0,3
951359,Bangladesh,New Zealand,male,2015/16,42455,World T20,28,Eden Gardens,Kolkata,New Zealand,bat,KS Williamson,JD Cloete,MA Gough,VA Kulkarni,RSA Palliyaguruge,AJ Pycroft,New Zealand,75,0
951361,England,Sri Lanka,male,2015/16,42455,World T20,29,Feroz Shah Kotla,Delhi,Sri Lanka,field,JC Buttler,PR Reiffel,RJ Tucker,S Ravi,CB Gaffaney,JJ Crowe,England,10,0
951363,India,Australia,male,2015/16,42456,World T20,31,"Punjab Cricket Association IS Bindra Stadium, Mohali",Chandigarh,Australia,bat,V Kohli,HDPK Dharmasena,M Erasmus,NJ Llong,RK Illingworth,RS Madugalle,India,0,6
